titolo;stock;note
A Betlemme di Giudea;0;
Acclamate al Signore;0;
Accogli Signore i nostri doni;0;
Acqua siamo noi;11;
Adesso è la pienezza;3;
Adeste Fideles;0;
Agnello di Dio (Buttazzo - Vita nuova con te);0;
Agnello di Dio (Buttazzo, Dargenio - Esulta il cielo);0;
Agnello di Dio (De Dominicis);0;
Agnello di Dio (Giorgi);0;
Agnello di Dio (Messa della gioia);0;
Agnello di Dio (Picchi);0;
Agnello di Dio 2 (Buttazzo - Sorgente di unità);0;
Alleluia (celtic);0;
Alleluia a colui che risuscitò;0;
Alleluia, Signore sei venuto;0;Insieme a: Alleluia, la tua parola
Alleluia, canto per Cristo;9;Insieme a: Alleluia, chi ascolta e Alleluia, passeranno i cieli
Alleluia, chi ascolta;0;Insieme a: Alleluia,canto per Cristo e Alleluia, passeranno i cieli
Alleluia, ed oggi ancora;1;Insieme a: Alleluia, la nostra festa e Alleluia, rendete grazie
Alleluia, la nostra festa;0;Insieme a: Alleluia, ed oggi ancora e Alleluia, rendete grazie
Alleluia, la tua parola;13;Insieme a: Alleluia, Signore sei venuto
Alleluia, lode cosmica;0;
Alleluia, ora lui vive;0;
Alleluia, passeranno i cieli;0;Insieme a: Alleluia,canto per Cristo e Alleluia, chi ascolta
Alleluia, questa tua parola;0;
Alleluia, rendete grazie;0;Insieme a: Alleluia, la nostra festa e Alleluia, ed oggi ancora
Alma misionera;0;
Altissimo;0;
Alzati e risplendi;0;
Amatevi l'un l'altro;0;
Andate per le strade;10;Insieme a: Dolce sentire
Anima Christi;0;
Anima di Cristo;14;
Antica eterna danza;0;
Astro del ciel;0;
Ave Maria (Sequeri);0;
Ave Maria ora pro nobis;0;
Ave Maria, gratia plena;13;Insieme a: Ecco l'acqua
Beati voi;5;
Beato è il cuore che perdona (Inno GMG 2016);0;
Benedici, o Signore;0;
Benediciamo il Signore;0;
Benedirò il Signore;0;
Camminerò;3;
Camminiamo sulla strada;0;
Canta e cammina;0;
Cantiamo Te;0;
Cantico dei redenti;0;
Canto dell'acqua;0;
Canto dell'amicizia;0;
Che gioia ci hai dato (Resurrezione);10;
Chi?;0;
Chiamati per nome;6;
Chiesa del Risorto;0;
Chiesa di Dio;0;
Com'è bello, Signor, stare insieme;0;
Come Maria;11;
Come Tu mi vuoi;0;
Come fuoco vivo;0;
